Date,Region,Product,Unit,Price
2017-06-01,GBA,Pan francés,kg,38.64
2017-06-01,GBA,Harina de trigo común,kg,10.67
2017-06-01,GBA,Arroz blanco simple,kg,20.96
2017-06-01,GBA,Fideos secos tipo guisero,500 g,19.08
2017-06-01,GBA,Carne picada común,kg,72.2
2017-06-01,GBA,Pollo entero,kg,34.45
2017-06-01,GBA,Aceite de girasol,"1,5 litros",50.41
2017-06-01,GBA,Leche fresca entera sachet,Litro,20.96
2017-06-01,GBA,Huevos de gallina,Docena,33.23
2017-06-01,GBA,Papa,kg,13.9
2017-06-01,GBA,Azúcar,kg,19.16
2017-06-01,GBA,Detergente líquido,750 cc,19.53
2017-06-01,GBA,Lavandina,1.000 cc,15.7
2017-06-01,GBA,Jabón de tocador,125 g,13.99
2017-06-01,Pampeana,Pan francés,kg,31.42
2017-06-01,Pampeana,Harina de trigo común,kg,11.19
2017-06-01,Pampeana,Arroz blanco simple,kg,20.79
2017-06-01,Pampeana,Fideos secos tipo guisero,500 g,16.91
2017-06-01,Pampeana,Carne picada común,kg,76.04
2017-06-01,Pampeana,Pollo entero,kg,36.61
2017-06-01,Pampeana,Aceite de girasol,"1,5 litros",52.46
2017-06-01,Pampeana,Leche fresca entera sachet,Litro,22.63
2017-06-01,Pampeana,Huevos de gallina,Docena,33.0
2017-06-01,Pampeana,Papa,kg,13.59
2017-06-01,Pampeana,Azúcar,kg,18.62
2017-06-01,Pampeana,Detergente líquido,750 cc,21.94
2017-06-01,Pampeana,Lavandina,1.000 cc,14.7
2017-06-01,Pampeana,Jabón de tocador,125 g,14.27
2017-06-01,Noreste,Pan francés,kg,28.67
2017-06-01,Noreste,Harina de trigo común,kg,11.35
2017-06-01,Noreste,Arroz blanco simple,kg,19.82
2017-06-01,Noreste,Fideos secos tipo guisero,500 g,14.4
2017-06-01,Noreste,Carne picada común,kg,68.67
2017-06-01,Noreste,Pollo entero,kg,37.3
2017-06-01,Noreste,Aceite de girasol,"1,5 litros",51.08
2017-06-01,Noreste,Leche fresca entera sachet,Litro,22.53
2017-06-01,Noreste,Huevos de gallina,Docena,29.33
2017-06-01,Noreste,Papa,kg,13.21
2017-06-01,Noreste,Azúcar,kg,17.9
2017-06-01,Noreste,Detergente líquido,750 cc,19.93
2017-06-01,Noreste,Lavandina,1.000 cc,16.07
2017-06-01,Noreste,Jabón de tocador,125 g,14.23
2017-06-01,Noroeste,Pan francés,kg,32.32
2017-06-01,Noroeste,Harina de trigo común,kg,10.53
2017-06-01,Noroeste,Arroz blanco simple,kg,18.48
2017-06-01,Noroeste,Fideos secos tipo guisero,500 g,13.44
2017-06-01,Noroeste,Carne picada común,kg,81.89
2017-06-01,Noroeste,Pollo entero,kg,36.0
2017-06-01,Noroeste,Aceite de girasol,"1,5 litros",51.46
2017-06-01,Noroeste,Leche fresca entera sachet,Litro,21.55
2017-06-01,Noroeste,Huevos de gallina,Docena,30.08
2017-06-01,Noroeste,Papa,kg,11.33
2017-06-01,Noroeste,Azúcar,kg,16.35
2017-06-01,Noroeste,Detergente líquido,750 cc,23.05
2017-06-01,Noroeste,Lavandina,1.000 cc,14.75
2017-06-01,Noroeste,Jabón de tocador,125 g,14.65
2017-06-01,Cuyo,Pan francés,kg,28.12
2017-06-01,Cuyo,Harina de trigo común,kg,10.45
2017-06-01,Cuyo,Arroz blanco simple,kg,18.28
2017-06-01,Cuyo,Fideos secos tipo guisero,500 g,17.36
2017-06-01,Cuyo,Carne picada común,kg,72.9
2017-06-01,Cuyo,Pollo entero,kg,34.22
2017-06-01,Cuyo,Aceite de girasol,"1,5 litros",48.26
2017-06-01,Cuyo,Leche fresca entera sachet,Litro,23.22
